mid,uid,title,content,music_title,music_artist,date
12,13,1234,NULL,asdasdasds,NULL,"2016-01-13 22:47:24"
13,14,1234,NULL,asdasdasds,NULL,"2016-01-13 22:54:47"
14,15,1234,NULL,asdasdasds,NULL,"2016-01-13 22:54:56"
16,13,하하,하하,"에픽하이 - 우산 (Feat. 윤하)",NULL,"2016-01-13 23:07:16"
17,13,"피곤한 하루였다!",하하,"2015 응원OT 화합의장",NULL,"2016-01-14 01:50:07"
18,13,"오늘 나에게 쓰는 한 마디",하하,"이홍기 - JUMP",NULL,"2016-01-14 01:51:51"
19,13,test6,NULL,1,NULL,"2016-01-14 02:00:52"
20,13,test,NULL,title,NULL,"2016-01-14 02:25:48"
21,13,test,NULL,title,artist,"2016-01-14 02:28:10"
22,13,yy,하하,NULL,미쓰에이,"2016-01-14 02:29:55"
23,13,tt,하하,NULL,정승환,"2016-01-14 02:47:48"
24,13,uu,하하,위아래,EXID,"2016-01-14 02:49:29"
25,13,hh,하하,"다른 남자 말고 너",미쓰에이,"2016-01-14 02:50:35"
26,13,qqe,하하,"다른 남자 말고 너",미쓰에이,"2016-01-14 04:49:18"
27,13,tty,하하,"다른 남자 말고 너",미쓰에이,"2016-01-14 04:50:08"
28,13,tt,하하,"12시 30분",비스트,"2016-01-14 06:22:59"
29,13,yy,하하,"사랑에 빠지고 싶다",정승환,"2016-01-14 08:51:13"
30,13,uu,하하,"오늘 하루만 (Feat. 백승헌)",NOP.K,"2016-01-14 08:52:01"
32,13,이진성,하하,NULL,NULL,"2016-01-14 12:27:59"
33,13,이진성,하하,NULL,NULL,"2016-01-14 13:07:23"
34,13,이진성,하하,NULL,NULL,"2016-01-14 14:59:31"
35,13,이진성,하하,NULL,NULL,"2016-01-14 14:59:56"
36,13,얍,하하,NULL,NULL,"2016-01-14 15:00:53"
37,13,얍,하하,NULL,NULL,"2016-01-14 15:19:44"
38,13,얍,하하,NULL,NULL,"2016-01-14 16:22:45"
39,13,213,하하,"12시 30분",비스트,"2016-01-14 17:02:47"
40,13,메세지1,하하,NULL,NULL,"2016-01-14 17:06:43"
41,13,메세지2,하하,NULL,NULL,"2016-01-14 17:12:44"
42,13,에제시,하하,NULL,NULL,"2016-01-14 18:09:31"
43,13,메세지1,하하,NULL,NULL,"2016-01-14 18:11:20"
44,13,메세지2,하하,NULL,NULL,"2016-01-14 18:11:37"
45,13,메세지3,하하,NULL,NULL,"2016-01-14 18:11:57"
46,13,메세지4,하하,NULL,NULL,"2016-01-14 18:22:12"
47,13,메세지2,하하,NULL,NULL,"2016-01-14 20:10:14"
48,13,메세지2,하하,NULL,NULL,"2016-01-14 20:33:50"
49,13,메세지3,하하,NULL,NULL,"2016-01-14 20:42:25"
50,13,메세지4,하하,NULL,NULL,"2016-01-14 20:43:27"
51,13,하나둘셋다섯여섯일곱두두두두두두두두두두,하하,NULL,NULL,"2016-01-14 21:54:54"
52,13,시작,하하,NULL,NULL,"2016-01-14 22:07:56"
53,13,하하하,하하,NULL,NULL,"2016-01-14 22:15:15"
54,13,헤헤,하하,NULL,NULL,"2016-01-14 22:15:47"
55,13,하하하,"헤헤헤
",NULL,NULL,"2016-01-14 23:23:14"
56,13,a,하하,"쉬어갈래 (Feat. 지조, Kuan)",뉴올,"2016-01-15 01:20:27"
57,15,메세지1,하하,NULL,NULL,"2016-01-15 01:36:22"
58,15,ㅇ,하하,NULL,NULL,"2016-01-15 02:25:37"
59,15,ㅇㅇ,하하,NULL,NULL,"2016-01-15 02:25:46"
60,13,ㅛ,_,NULL,NULL,"2016-01-15 03:42:54"
61,13,ㄹㄹ,하하,"다른 남자 말고 너",미쓰에이,"2016-01-15 04:42:38"
62,13,ㅓ,하하,"다른 남자 말고 너",미쓰에이,"2016-01-15 13:59:00"
63,14,test,test,test,test,"2016-01-15 16:01:51"
64,14,sadf,test2,test2,test2,"2016-01-15 16:09:22"
65,14,dfsdf33eer," "," "," ","2016-01-15 16:11:26"
66,15,이진성,하하,NULL,NULL,"2016-01-15 16:22:06"
67,15,이진성,하하,NULL,NULL,"2016-01-15 16:22:36"
68,14,sddsf," "," "," ","2016-01-15 17:14:26"
69,14,bsfsd," "," "," ","2016-01-15 17:28:52"
70,14,ddd," "," "," ","2016-01-15 17:35:09"
71,14,gdfsd," "," "," ","2016-01-15 17:39:12"
72,13,ㅜ,하하,"쉬어갈래 (Feat. 지조, Kuan)",뉴올,"2016-01-15 17:40:42"
73,14,1111," "," "," ","2016-01-15 17:42:11"
74,14,22334,2234," "," ","2016-01-15 17:43:09"
78,13,아,_,NULL,NULL,"2016-01-15 20:42:24"
79,13,메세지1,메세지11111111111111111111111111111111111111111,NULL,NULL,"2016-01-15 21:22:05"
80,13,메세지2,메세지2222,NULL,NULL,"2016-01-15 21:22:47"
81,13,ㅗ,하하,"다른 남자 말고 너",미쓰에이,"2016-01-15 21:50:28"
82,14,메세지작성,더작성하기,닥터존,Aqua,"2016-01-15 21:54:37"
83,14,"음악 노",음악안씀요," "," ","2016-01-15 21:55:02"
84,14,제목만," "," "," ","2016-01-15 21:55:19"
85,14,ddd," "," "," ","2016-01-15 22:01:40"
86,14,hxjx," "," "," ","2016-01-15 22:04:02"
89,14,ㅅㅂㅈ," ",닥터존,Aqua,"2016-01-15 22:07:56"
90,14,ㄹ," "," "," ","2016-01-15 22:08:41"
91,14,ㄹ," "," "," ","2016-01-15 22:09:26"
92,14,abcd," "," "," ","2016-01-15 22:09:37"
93,14,ㅅㄷㄴ," "," "," ","2016-01-15 22:11:21"
94,13,안녕허세요," "," "," ","2016-01-15 22:13:32"
95,14,ㄱㄷㄴㅂㄱ,," "," ","2016-01-15 22:13:46"
98,15,하하하하," "," "," ","2016-01-15 22:18:45"
99,15,ㅅㅅ," "," "," ","2016-01-15 22:42:47"
100,14,"오늘 하루도 힘차게!!!"," ","힘 내! (Way To Go)",소녀시대,"2016-01-15 23:14:27"
101,18,"으아아아 앱잼","드디어........손까지 떨린다 ㅜㅜ","Lost Stars","Keira Knightley","2016-01-15 23:32:57"
102,18,으아아아ㅏㅇ앱잼,"아아아 드디어......손이 떨린다 ㅜㅜ","Lost Stars","Keira Knightley","2016-01-15 23:35:30"
103,18,"오늘은 한강가서 치맥고","하지만 낼 벌표 ㅜㅜㅜㅜㅜㅜㅜ으어아ㅏ"," "," ","2016-01-15 23:36:08"
104,18,안녕," ","에픽하이 - 우산 (Feat. 윤하)","에픽 하이(Epik High)","2016-01-15 23:36:29"
105,18,"으아아 ",으으엉,"Lost Stars","Keira Knightley","2016-01-15 23:39:52"
107,18,"아 한강가고 싶다"," ","에픽하이 - 우산 (Feat. 윤하)","에픽 하이(Epik High)","2016-01-15 23:40:33"
108,13,가로," ",위아래,EXID,"2016-01-16 01:15:29"
110,17,"트윙클 첫 출시 신난다!!","오늘 하루 진짜 힘들게 만들었다
ㅜㅠ
민정쓰 일영쓰 솔빈쓰
그리고 승현이 형님 두분 동석이형!!
막내 수진이 모두 모두 수고했어!!
우리 모두 좋은결과 있길 바래!","Dreams Come True",포미닛(4minute),"2016-01-16 03:55:02"
113,21,"하 해아",안녕,"Boogie On & On",빈지노(Beenzino),"2016-01-16 04:14:05"
114,22,아아아," "," "," ","2016-01-16 04:37:37"
115,13,가나다,ㄴㄴ,야생화,박효신,"2016-01-16 04:39:34"
116,22,"엔젤링 화이팅","우우우우우유융유뮤뮤뮤ㅜ뮴무머ㅣㄹㅎㅎㅎㅎㅎㅎ호호ㅗㅗㅗㅎㅎㅎㅎㅎㅎㅎㅎㄹㅎㅎㅍㅍㅍㅍㅍㅎㅍㅍ퓨    ㅜ         ㅠㅓㅓㅓㅓㅓㅓㅓㅓㅗㅗㅗㅗㅗㅗㅗㅗㅗㅠㅗㅗㅠㅠㅠㅠㅍ퓨ㅠㅗㅗㅗㅗㅙ","Hangouts Message",<unknown>,"2016-01-16 04:40:19"
117,23,"수고했어 오늘도"," "," "," ","2016-01-16 06:13:00"
118,24,난오늘죽고싶다," "," "," ","2016-01-16 06:13:51"
119,24,나오늘사랑하고싶다," ","심쿵해 (Heart Attack)",AOA,"2016-01-16 06:14:51"
121,25,기기기기," "," "," ","2016-01-16 06:56:32"
122,26,호우," "," "," ","2016-01-16 10:54:55"
123,26,ㅇㅇㅇㅇ," ","그때까지만 (1st Album)","SG Wanna Be","2016-01-16 10:57:07"
124,22,라라아랄라,ㅓ러어어양,"Hangouts Call",<unknown>,"2016-01-16 11:06:02"
125,27,"신기하다~오늘은 회의하는날~"," "," "," ","2016-01-16 11:38:47"
126,28,테스트," ","Titanium (Feat. Sia) (Party Mix)","David Guetta","2016-01-16 12:06:28"
127,28,ㄱ," ","Hangouts Incoming Video Call",<unknown>,"2016-01-16 12:08:02"
128,29,"트윙클 잘 만드셨네요"," "," "," ","2016-01-16 12:46:19"
129,29,"노래 넣어볼게요"," ","Over the Horizon",Samsung,"2016-01-16 12:47:50"
130,13,테," "," "," ","2016-01-16 13:17:49"
131,26,"김채림 바보"," ",Break,빈지노(Beenzino),"2016-01-16 13:27:22"
133,30,힘내자,제발좀,"Married To The Music","샤이니 (SHINee)","2016-01-16 14:08:34"
134,14,아," "," "," ","2016-01-16 14:09:01"
135,31,"트윙클 트윙클"," "," "," ","2016-01-16 14:26:04"
136,31,너무해," ","코끝에 겨울","어반 자카파 (Urban Zakapa)","2016-01-16 14:26:27"
137,17,안녕," ",닥터존,Aqua,"2016-01-16 15:10:56"
139,21,ㅎㅎ하,하하,"너무 좋아 (I Love It) (Feat. Zion.T & Boys Noize)","지 드래곤(G-Dragon)","2016-01-16 15:53:50"
140,21,ㅎㅎ하,하하,"너무 좋아 (I Love It) (Feat. Zion.T & Boys Noize)","지 드래곤(G-Dragon)","2016-01-16 15:53:50"
141,32,aaaa,ddd,쿸封,혁오(hyukoh),"2016-01-16 15:56:13"
142,32,bbbb," ","러버 (Rubber) (Feat. 오혁)",프라이머리(Primary),"2016-01-16 15:57:09"
143,13,너이새기화이딩," "," "," ","2016-01-16 16:19:08"
147,17,화이팅,메롱,"[해커스 보카] Day 09 (심화형)",<unknown>,"2016-01-16 17:22:05"
151,17,ㄱ," "," "," ","2016-01-16 17:22:52"
155,17,"ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ ㅇㅊㅈㅈㅈㅈㅈㅈ"," "," "," ","2016-01-16 17:28:28"
156,33,배고파요ㅛ요욘," "," "," ","2016-01-16 17:47:53"
157,33,오노ㅓ너나아아잽멐ㅁ," "," "," ","2016-01-16 17:48:03"
158,33,ㅗ러ㅛㅇ성송러ㅛ료ㅏㄹ서ㅕ," "," "," ","2016-01-16 17:48:09"
159,33,ㅛ처ㅛ쵸ㅏ툐ㅏ쿄ㅑ료ㅏ효ㅏ하ㅛ," "," "," ","2016-01-16 17:48:15"
160,31,엑윽엑엑,으어어아아아앙아아아아아앙아아아아아앙아아아아앙아아아아앙아아아아어어어엉어어어아아어어앙어ㅓㅇ어어어아으우유오어ㅓ," "," ","2016-01-16 17:49:44"
161,13,행보카다," "," "," ","2016-01-16 17:51:06"
162,13,우아아아," ","Over the horizon",Samsung,"2016-01-16 17:51:28"
163,13,우와,아아아아아아멋져,"Hangouts Video Call",<unknown>,"2016-01-16 17:52:41"
164,36,"힘내자 하면되지 뭐"," "," "," ","2016-01-16 18:32:56"
165,36,"하핫 힘내자"," ","Hangouts Call",<unknown>,"2016-01-17 00:44:56"
166,13,ㅂㅂㅂ," ",모르나봐,"소유, 브라더수","2016-01-17 00:49:36"
167,13,가," ",야생화,박효신,"2016-01-17 01:46:20"
168,13,수고했다," ","Lost Stars","Adam Levine","2016-01-17 01:47:56"
170,38,자랑한다," "," "," ","2016-01-17 13:51:12"
171,39,안녕," "," "," ","2016-01-17 14:24:18"
172,39,ㅎㅎㅎ," ",어깨,"소유 & 권정열","2016-01-17 14:26:12"
173,40,수고해," "," "," ","2016-01-17 14:53:36"
174,13,"스택 관리 하자"," ","I'm Yours","Jason Mraz","2016-01-17 15:27:10"
175,13,"하하하 된다"," ","에픽하이 - 우산 (Feat. 윤하)","에픽 하이(Epik High)","2016-01-17 15:30:20"
177,13,하하," "," "," ","2016-01-17 15:56:35"
178,23,행복크하자," "," "," ","2016-01-17 16:33:18"
179,23,행복크하자," "," "," ","2016-01-17 16:33:20"
180,41,겨울방학첫방과후,"김현호 못온데 혹시나 하지말고
악기나 열심히 하고오자
진짜기대하지마
제발"," "," ","2016-01-17 19:52:37"
181,24,하이,"ㅇㅇㅇㅇㅇㅇㅇㅇ ㅇㅁ ㅇㅁㅇㅇㅇㅇㅇㅇㅇㅇㅇㅁㅇㅁㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ"," "," ","2016-01-17 21:36:53"
182,13,"뱃살 꼭 빼자 !!"," ","Lost Stars","Keira Knightley","2016-01-17 21:51:07"
183,17,"오늘 춥다"," "," "," ","2016-01-17 22:05:08"
184,43,"오늘은 팔레트 만나는날"," "," "," ","2016-01-18 11:16:40"
185,43,"오늘은 팔레트 만나는날",기쁨," "," ","2016-01-18 11:17:08"
186,44,"트윙클 화이팅!"," ","After School Club Logo Song",<unknown>,"2016-01-18 13:30:06"
187,45,뭐라하지,"....



123445","Serebro - Mi Mi Mi (Doublekore Bootleg)",<unknown>,"2016-01-18 16:21:50"
188,43,ssds,xdddd,"시간아 천천히",이진아,"2016-01-18 23:00:01"
189,13,ㅇㅅㅇ뀨,메롱,"싫은 날",아이유(IU),"2016-01-19 00:40:55"
190,13,디자인," "," "," ","2016-01-19 00:42:04"
193,18,치킨먹고싶다,양념치킨,Arirang,"Vienna Boys' Choir","2016-01-19 12:59:49"
194,18,아리랑," "," "," ","2016-01-19 13:00:20"
195,47,잘했어," ",Honestly,"Kelly Clarkson","2016-01-19 13:02:46"
196,13,"승현이형 수고하셨어요"," "," "," ","2016-01-19 21:06:31"
197,13,ㅇㅇ," "," "," ","2016-01-19 23:11:11"
198,13,ㅎㅎㅎㅎㅎ,뭐야이게," "," ","2016-01-19 23:35:49"
199,13,"빵 안녕? 지금일기쓰는중"," "," "," ","2016-01-20 00:22:29"
200,13,"빵 안농"," ","Thank you","Nell 넬","2016-01-20 00:22:48"
201,48,"오늘 하고싶다"," "," "," ","2016-01-20 01:18:19"
202,48,노래방가고싶다,"힙합을 부르고 싶어염
"," "," ","2016-01-20 01:19:04"
203,48,ㅇ," "," "," ","2016-01-20 01:19:31"
204,13,힘들었다,윽,스물셋,"아이유 (IU)","2016-01-20 20:11:14"
205,17,"자기와의 약속!!","나와의 약속을 좀 지키자규!!!",보랏빛향기,클릭비,"2016-01-20 21:55:00"
206,49,안녕," "," "," ","2016-01-21 20:24:50"
207,49,ㅎㅇ," ","Parade of Life","LG Electronics","2016-01-21 20:25:50"
208,50,심심하다," ","It Will Rain","Bruno Mars","2016-01-21 23:10:58"
209,22,로ㅕ널," ","Hangouts Call",<unknown>,"2016-01-22 13:30:42"
210,51,"민정누나가 아메리카노 사줬다. 아이스"," ","잊어버리지마 (Feat. 태연)_(후렴)_CRUSH (크러쉬)","ؾ���� (Feat. �¿�)","2016-01-23 15:34:36"
211,51,"츄러스도 잘돼라 화이팅"," ","Facebook Pop",Facebook,"2016-01-23 15:37:50"
214,52,"봐라 고승현 노래수정안된다"," ","Hangouts Message",<unknown>,"2016-01-23 19:33:45"
215,13,암," "," "," ","2016-01-24 18:56:46"
216,13,임수바보,"너무해 사생활 보호 좀 해주삼",Arirang,"Vienna Boys' Choir","2016-01-24 18:58:08"
217,53,"오늘 10다트성공해서 기분째짐 완전굿"," "," "," ","2016-01-25 01:56:20"
218,53,"음악을 틀어보자"," ","나만 몰랐던 이야기",아이유,"2016-01-25 01:56:54"
219,52,"유소진이랑 있음"," ","Over the Horizon",Samsung,"2016-01-25 19:01:16"
220,13,핳하핳하," ","Someday, Someway, Somehow","Brian McKnight","2016-01-25 23:09:29"
221,13,"눈이 온다","눈눈 ㅜㅜ"," "," ","2016-01-26 10:48:53"
222,54,안녕," ",기다리다,윤하,"2016-01-26 15:05:16"
223,13,ㅎ2," "," "," ","2016-01-27 20:43:23"
224,13,ㄱㅇㄱ,ㅇㅂㅇ,단어와예문암기_Day11,해커스어학연구소,"2016-01-27 20:44:04"
225,38,"예일아 안녕"," "," "," ","2016-01-28 17:26:43"
226,55,"스무살 도전의 끝, 다시 시작"," "," "," ","2016-01-30 17:46:33"
227,56,"여행가고싶다...의미있는 하루를 못보"," ","놀러가자 (Feat. 박유천 Of JYJ)","거미 (Gummy)","2016-02-01 01:07:36"
228,57,"아 좋다ㅎ"," "," "," ","2016-02-01 21:21:57"
229,57,ㅎㅎㅎ맥창," ","Rolling In The Deep",Adele,"2016-02-01 21:22:36"
237,13,저ㅏㅏㅓㅓㅏㅏ,펭ㅇㅇㅇㅇ," "," ","2016-02-03 17:07:49"
238,13,ㅎㅎㅎ," ",20140801035423_happy.mp3,<unknown>,"2016-02-03 17:08:38"
239,58,"신동시장 원룸부지 가계약금 200만원"," "," "," ","2016-02-05 17:36:38"
240,58,"편의점 진행"," ","뱅뱅뱅 (BANG BANG BANG)",BIGBANG,"2016-02-05 17:38:09"
241,13,ㅇㅅㅇ," "," "," ","2016-02-07 01:37:02"
242,13,ㅋ," ","[GMP] 2015-01-01 (목)",<unknown>,"2016-02-07 01:37:12"
243,13,"이중적인 게 아니에요 그냥 느낌이 그"," "," "," ","2016-02-07 01:37:53"
244,58,"가족사진 찍는날"," "," "," ","2016-02-07 09:52:20"
245,13,"지은이랑 놀았다",졸잼,"(Bonus Track) Voice Mail (Korean Ver.)","아이유 (IU)","2016-02-07 21:21:15"
246,59,"오늘이 설날이다"," "," "," ","2016-02-07 21:26:29"
247,60,"오늘은 설날이다"," ","The Show_Lenka_후렴",Lenka,"2016-02-07 21:32:07"
250,13,ㅇ러ㅓ,"ㅍㅍ호
","에픽하이 - 우산 (Feat. 윤하)","에픽 하이(Epik High)","2016-02-08 18:01:38"
251,13,초ㅑㅇㄹㄹ,"홀혀

","마음을 잃다",넬(Nell),"2016-02-08 20:42:23"
252,31,라아어," "," "," ","2016-02-09 15:25:55"
253,61,"역시 집이 최고야",,"No Make Up",Zion.T,"2016-02-09 21:31:38"
255,62,"아무것도 하기 싫다. 인생이 공허하다"," "," "," ","2016-02-12 01:50:36"
256,62,"해야만 한다는 스트레스가 나를 짓누른"," "," "," ","2016-02-12 01:51:34"
257,62,"어떻게 살면 좋을까, 나는. 속절없이"," "," "," ","2016-02-12 01:52:32"
258,61,,ㅇㅇ,"늙은 언니의 충고",<unknown>,"2016-02-13 18:40:01"
260,13,ㅎㅎ," "," "," ","2016-02-14 11:57:57"
